floor,room_id,room_number,x_start_cm,x_center_cm,width_cm,depth_cm,nearest_exit,distance_to_nearest_exit_cm,distance_to_exit1_cm,distance_to_exit2_cm
1,F1-R1,1,0,457,914,190,exit_1,457,457,5943
1,F1-R2,2,914,1371,914,190,exit_1,1371,1371,5029
1,F1-R3,3,1828,2285,914,190,exit_1,2285,2285,4115
1,F1-R4,4,2742,3200,914,190,exit_1,3200,3200,3200
1,F1-R5,5,3656,4115,914,190,exit_2,2285,4115,2285
1,F1-R6,6,4570,5029,914,190,exit_2,1371,5029,1371
1,F1-R7,7,5484,5943,914,190,exit_2,457,5943,457
2,F2-R1,1,0,457,914,190,exit_1,457,457,5943
2,F2-R2,2,914,1371,914,190,exit_1,1371,1371,5029
2,F2-R3,3,1828,2285,914,190,exit_1,2285,2285,4115
2,F2-R4,4,2742,3200,914,190,exit_1,3200,3200,3200
2,F2-R5,5,3656,4115,914,190,exit_2,2285,4115,2285
2,F2-R6,6,4570,5029,914,190,exit_2,1371,5029,1371
2,F2-R7,7,5484,5943,914,190,exit_2,457,5943,457
3,F3-R1,1,0,457,914,190,exit_1,457,457,5943
3,F3-R2,2,914,1371,914,190,exit_1,1371,1371,5029
3,F3-R3,3,1828,2285,914,190,exit_1,2285,2285,4115
3,F3-R4,4,2742,3200,914,190,exit_1,3200,3200,3200
3,F3-R5,5,3656,4115,914,190,exit_2,2285,4115,2285
3,F3-R6,6,4570,5029,914,190,exit_2,1371,5029,1371
3,F3-R7,7,5484,5943,914,190,exit_2,457,5943,457
4,F4-R1,1,0,457,914,190,exit_1,457,457,5943
4,F4-R2,2,914,1371,914,190,exit_1,1371,1371,5029
4,F4-R3,3,1828,2285,914,190,exit_1,2285,2285,4115
4,F4-R4,4,2742,3200,914,190,exit_1,3200,3200,3200
4,F4-R5,5,3656,4115,914,190,exit_2,2285,4115,2285
4,F4-R6,6,4570,5029,914,190,exit_2,1371,5029,1371
4,F4-R7,7,5484,5943,914,190,exit_2,457,5943,457
